Dry Soil
15:13:12.044 -> 272
15:13:13.031 -> 273
15:13:14.050 -> 274
15:13:15.036 -> 272
15:13:16.060 -> 268
15:13:17.046 -> 269
15:13:18.031 -> 262
15:13:19.056 -> 256
15:13:20.055 -> 289
15:13:21.046 -> 300
15:13:22.032 -> 298
15:13:23.056 -> 272
15:13:24.048 -> 268
15:13:25.037 -> 265
15:13:26.027 -> 261
15:13:27.048 -> 258
15:13:28.037 -> 286
15:13:29.058 -> 298
15:13:30.049 -> 300
Water
15:16:19.011 -> 763
15:16:19.999 -> 804
15:16:21.023 -> 791
15:16:22.012 -> 787
15:16:23.030 -> 767
15:16:24.011 -> 769
15:16:25.000 -> 796
15:16:26.023 -> 797
15:16:27.007 -> 795
15:16:28.027 -> 793
15:16:29.015 -> 792
15:16:30.007 -> 790
15:16:31.001 -> 789
15:16:31.999 -> 788
15:16:33.021 -> 787
15:16:34.012 -> 786
15:16:34.998 -> 785
15:16:36.017 -> 784
15:16:37.006 -> 783
15:16:38.027 -> 782
15:16:39.017 -> 781
15:16:40.006 -> 781
15:16:40.994 -> 780
15:16:42.015 -> 779
15:16:43.002 -> 778
15:16:44.022 -> 778